Flower Fables;"['163', '102', 'Alcott, Louisa May', 'Flower Fables', ""Children's Literature"", 'en', 'TRUE']"
A Connecticut Yankee in King Arthur's Court, Part 9.;"['7250', '53', 'Twain, Mark', ""A Connecticut Yankee in King Arthur's Court, Part 9."", 'Precursors of Science Fiction', 'en', 'TRUE']"
The Reef;['283', '104', 'Wharton, Edith', 'The Reef', 'NA', 'en', 'TRUE']
Sketches by Boz, Illustrative of Every-Day Life and Every-Day People;['882', '37', 'Dickens, Charles', 'Sketches by Boz, Illustrative of Every-Day Life and Every-Day People', 'NA', 'en', 'TRUE']
Othello;['2267', '65', 'Shakespeare, William', 'Othello', 'NA', 'en', 'TRUE']
Pillars of Society;['2296', '861', 'Ibsen, Henrik', 'Pillars of Society', 'NA', 'en', 'TRUE']
The Stolen White Elephant;['3181', '53', 'Twain, Mark', 'The Stolen White Elephant', 'NA', 'en', 'TRUE']
Euthyphro;['1642', '93', 'Plato', 'Euthyphro', 'Philosophy', 'en', 'TRUE']
Eve's Diary, Part 3;"['8528', '53', 'Twain, Mark', ""Eve's Diary, Part 3"", 'NA', 'en', 'TRUE']"
The Haunted Man and the Ghost's Bargain;"['644', '37', 'Dickens, Charles', ""The Haunted Man and the Ghost's Bargain"", 'Christmas', 'en', 'TRUE']"
A Son Of The Sun;['21971', '120', 'London, Jack', 'A Son Of The Sun', 'NA', 'en', 'TRUE']
History of the Plague in London;"['17221', '204', 'Defoe, Daniel', 'History of the Plague in London', ""Children's History/Historical Fiction"", 'en', 'TRUE']"
Mathilda;['15238', '61', 'Shelley, Mary Wollstonecraft', 'Mathilda', 'NA', 'en', 'TRUE']
Before Adam;['310', '120', 'London, Jack', 'Before Adam', 'NA', 'en', 'TRUE']
Speeches: Literary and Social;['824', '37', 'Dickens, Charles', 'Speeches: Literary and Social', 'NA', 'en', 'TRUE']
"Behind a Mask; or, a Woman's Power";"['8677', '102', 'Alcott, Louisa May', ""Behind a Mask; or, a Woman's Power"", 'NA', 'en', 'TRUE']"
Love of Life, and Other Stories;['710', '120', 'London, Jack', 'Love of Life, and Other Stories', 'NA', 'en', 'TRUE']
The Seven Poor Travellers;['1392', '37', 'Dickens, Charles', 'The Seven Poor Travellers', 'NA', 'en', 'TRUE']
Othello, the Moor of Venice;['1531', '65', 'Shakespeare, William', 'Othello, the Moor of Venice', 'Best Books Ever Listings', 'en', 'TRUE']
Smoke Bellew;['1596', '120', 'London, Jack', 'Smoke Bellew', 'NA', 'en', 'TRUE']
Some Rambling Notes of an Idle Excursion;['3182', '53', 'Twain, Mark', 'Some Rambling Notes of an Idle Excursion', 'NA', 'en', 'TRUE']
Eve's Diary, Complete;"['8525', '53', 'Twain, Mark', ""Eve's Diary, Complete"", 'NA', 'en', 'TRUE']"
The Judge;['16125', '6499', 'West, Rebecca', 'The Judge', 'NA', 'en', 'TRUE']
A Short Narrative of the Life and Actions of His Grace John, D. of Marlborogh;['37505', '204', 'Defoe, Daniel', 'A Short Narrative of the Life and Actions of His Grace John, D. of Marlborogh', 'NA', 'en', 'TRUE']
The Posthumous Papers of the Pickwick Club, v. 2(of 2);['47535', '37', 'Dickens, Charles', 'The Posthumous Papers of the Pickwick Club, v. 2(of 2)', 'NA', 'en', 'TRUE']
Summer;['166', '104', 'Wharton, Edith', 'Summer', 'NA', 'en', 'TRUE']
Venus and Adonis;['1045', '65', 'Shakespeare, William', 'Venus and Adonis', 'NA', 'en', 'TRUE']
Rosmersholm;['2289', '861', 'Ibsen, Henrik', 'Rosmersholm', 'NA', 'en', 'TRUE']
The Possessed (The Devils);['8117', '314', 'Dostoyevsky, Fyodor', 'The Possessed (The Devils)', 'Best Books Ever Listings', 'en', 'TRUE']
All's Well That Ends Well;"['1529', '65', 'Shakespeare, William', ""All's Well That Ends Well"", 'NA', 'en', 'TRUE']"
The Personal History of David Copperfield;['43111', '37', 'Dickens, Charles', 'The Personal History of David Copperfield', 'NA', 'en', 'TRUE']
A Message from the Sea;['1407', '37', 'Dickens, Charles', 'A Message from the Sea', 'NA', 'en', 'TRUE']
A Double Barrelled Detective Story;['3180', '53', 'Twain, Mark', 'A Double Barrelled Detective Story', 'NA', 'en', 'TRUE']
A Child's Dream of a Star;"['42232', '37', 'Dickens, Charles', ""A Child's Dream of a Star"", 'NA', 'en', 'TRUE']"
Hospital Sketches;['3837', '102', 'Alcott, Louisa May', 'Hospital Sketches', 'US Civil War', 'en', 'TRUE']
The Secret Adversary;['1155', '451', 'Christie, Agatha', 'The Secret Adversary', 'Detective Fiction', 'en', 'TRUE']
