article name	author	% '.'	% ','	% '?'	% ':'	% ';'	% ' '	% '!'	% '-'	% '_'	% '('	% '"'	% '/'	sentences-to-words ratio	avg. sentence length	%" "	%"\n"	%"the"	%"and"	%"'"	%"of"	%"to"	%"-"	%"a"	%"in"	%"i"	%"""	%"that"	%"he"	%"it"	%"wa"	%"hi"	%"you"	%"with"	%"for"	%"as"	%"is"	%"+"	%"but"	%"her"	%"be"	%"not"	%"had"	%"my"	%"s"	%"at"	%"on"	%"thi"	%"she"	%"all"	%"have"	%"him"	%"they"	%"me"	%"by"	%"so"	%"which"	%"we"	%"from"	%"one"	%"no"	%""	%"were"	%"or"	%"are"
The Importance_9.txt	Wilde	0.05398457583547558	0.02056555269922879	0.000856898029134533	0	0	0	0.002570694087403599	0	0	0	0	0	0.041820418204182044	42.838235294117645	940	104	10	9	20	10	6	6	17	6	17	0	13	8	2	1	8	12	1	3	4	12	0	2	2	3	3	0	1	5	10	4	1	0	3	1	4	1	0	0	4	0	3	0	3	1	0	0	0	4
The Reef_19.txt	Wharton	0.02	0.0216	0.0024	0	0.0032	0	0	0	0	0	0	0	0.01658640984483681	104.06451612903226	1130	98	30	13	10	23	20	6	17	7	0	2	10	25	16	13	10	0	4	4	9	0	0	3	17	4	7	10	0	5	8	4	2	10	1	4	11	0	0	1	3	3	0	4	1	2	0	0	2	0
The ChimesA G_18.txt	Dickens	0.01774622892635315	0.06299911268855368	0.001774622892635315	0.001774622892635315	0.006211180124223602	0	0.00354924578527063	0	0	0	0	0	0.014625228519195612	121.70833333333333	928	76	21	20	0	8	13	8	8	8	14	0	7	11	6	11	4	2	7	5	8	2	0	4	3	1	1	5	4	8	7	2	2	4	2	1	4	3	1	0	2	1	4	0	1	2	40	2	2	1
Love of Life a_6.txt	London	0.02943722943722944	0.024242424242424242	0	0	0.003463203463203463	0	0	0	0	0	0	0	0.020531400966183576	86.79411764705883	1004	88	49	28	6	19	11	6	10	3	0	0	4	15	16	18	12	0	2	4	0	0	0	7	0	4	5	4	0	3	3	7	2	0	3	0	2	5	0	3	1	3	0	2	0	1	0	4	1	0
King Henry VI_13.txt	Shakespeare	0.024635036496350366	0.053832116788321165	0.0009124087591240876	0.0072992700729927005	0.0072992700729927005	0	0	0	0	0	0	0	0.017220172201722016	106.25	896	158	21	17	24	16	8	6	5	10	11	0	13	2	0	7	11	0	5	5	3	3	0	6	0	5	2	1	19	5	1	0	10	0	1	2	1	3	7	2	1	3	0	4	1	2	0	1	0	1
Mudfog and Othe_14.txt	Dickens	0.025483304042179262	0.026362038664323375	0.0035149384885764497	0	0.0017574692442882249	0	0	0	0	0.0017574692442882249	0	0	0.02066115702479339	93.68571428571428	1000	88	49	14	0	30	13	12	25	9	0	0	10	10	6	14	0	1	7	2	1	0	0	0	0	4	2	8	0	1	2	1	3	0	0	4	2	0	0	0	3	5	0	2	0	0	2	3	0	0
Symbolic Logic_10.txt	Carroll	0.02368064952638701	0.02435723951285521	0	0.0020297699594046007	0.0033829499323410014	0	0	0	0	0.02097428958051421	0	0	0.025974025974025976	80.55555555555556	802	28	43	2	4	23	11	10	8	4	0	62	6	0	14	0	0	0	3	5	8	29	0	4	0	3	7	0	3	0	0	0	1	0	1	6	0	0	2	1	1	5	7	0	0	5	0	0	8	14
Tom Sawyer Det_15.txt	Twain	0.025951557093425604	0.0328719723183391	0.006055363321799308	0.0034602076124567475	0.0034602076124567475	0	0.004325259515570935	0	0	0	0	0	0.024231678486997636	63.51219512195122	942	62	18	21	76	6	16	22	14	6	18	26	5	11	40	7	2	8	0	2	4	3	0	3	0	4	2	2	5	11	5	2	6	0	3	1	0	1	1	1	6	0	6	0	6	2	0	0	1	0
Hospital Sketch_5.txt	Alcott	0.01384083044982699	0.054498269896193774	0.0025951557093425604	0	0.005190311418685121	0	0.0034602076124567475	0	0	0	0	0	0.013888888888888888	128.34782608695653	970	86	31	24	18	10	11	12	18	13	15	18	3	1	6	7	4	6	3	6	6	0	0	3	3	1	0	1	8	3	5	2	1	2	1	5	0	2	5	1	1	2	4	3	2	2	0	2	0	4
Tales of Men an_0.txt	Wharton	0.0192131747483989	0.03110704483074108	0.0009149130832570906	0.0009149130832570906	0.0027447392497712718	0	0.0018298261665141812	0	0	0	0	0	0.015206812652068127	118.16	944	86	23	23	14	19	13	48	12	4	2	4	5	8	11	12	12	2	1	6	8	3	0	4	5	2	5	10	2	3	5	4	1	5	3	2	3	5	1	1	3	1	4	2	2	2	0	6	5	0
Jack and Jill_16.txt	Alcott	0.015521064301552107	0.04286770140428677	0.0007390983000739098	0	0.0007390983000739098	0	0.0014781966001478197	0	0	0	0	0	0.013019529293940912	142.23076923076923	1180	112	45	24	20	19	16	10	12	11	5	10	2	6	4	7	7	6	6	11	6	0	0	5	6	5	4	2	1	4	3	4	2	2	2	1	6	4	1	3	3	1	2	4	4	1	0	6	4	1
Twelfth Night_14.txt	Shakespeare	0.031746031746031744	0.03759398496240601	0.007518796992481203	0.010025062656641603	0	0	0	0	0	0	0	0	0.029357798165137616	56.9375	994	74	16	13	20	7	17	2	15	3	17	0	6	1	5	0	1	6	5	7	3	2	0	7	7	6	5	2	10	3	2	0	11	2	0	0	5	1	1	7	5	1	0	1	1	7	0	0	3	4
The OdysseyRe_15.txt	Homer	0.015111111111111112	0.032	0.0026666666666666666	0	0.0035555555555555557	0	0	0	0	0.0008888888888888889	0	0	0.012150668286755772	140.85	988	82	20	14	2	19	13	10	11	7	13	14	4	2	7	3	5	12	2	7	9	4	0	3	0	3	3	0	6	1	2	2	3	3	3	5	6	2	7	1	3	0	3	0	1	5	0	4	2	7
The Age of Inno_19.txt	Wharton	0.016589861751152075	0.035944700460829496	0.0009216589861751152	0.003686635944700461	0.0027649769585253456	0	0	0	0	0	0	0	0.01964512040557668	96.90322580645162	906	82	21	12	14	13	16	18	10	10	7	32	6	4	5	1	5	5	5	3	7	0	0	5	6	3	2	6	3	7	1	1	1	8	0	5	1	0	1	2	3	2	1	1	2	0	0	2	0	1
Oliver Twist_19.txt	Dickens	0.016142735768903994	0.044180118946474084	0	0.0008496176720475786	0.009345794392523364	0	0.0016992353440951572	0	0	0	0	0	0.015817223198594025	118.22222222222223	1006	92	50	25	32	20	10	8	6	5	1	0	4	7	3	6	9	1	6	6	5	1	0	4	1	5	1	6	0	6	3	7	1	1	1	2	1	2	1	3	2	4	1	5	0	1	0	5	0	0
Before Adam_13.txt	London	0.028085106382978724	0.026382978723404255	0	0	0.001702127659574468	0	0	0	0	0	0	0	0.01870748299319728	93.18181818181819	1058	94	44	33	4	20	11	20	5	5	8	0	5	15	4	12	8	0	9	4	3	1	0	6	0	1	1	5	1	2	9	3	5	0	5	0	8	3	1	2	2	0	7	1	2	1	0	5	0	0
Pillars of Soci_16.txt	Ibsen	0.02859778597785978	0.027675276752767528	0.01014760147601476	0.027675276752767528	0.005535055350553505	0	0.004612546125461255	0	0	0.0027675276752767526	0	0	0.03215223097112861	52.04081632653061	886	104	25	10	4	11	12	8	9	4	18	8	6	2	4	0	1	21	5	4	4	4	0	6	0	1	5	2	4	0	2	0	1	0	2	9	4	4	5	2	0	0	6	1	3	1	0	3	1	4
Martin Eden_2.txt	London	0.017304189435336976	0.05373406193078324	0	0.0009107468123861566	0.0009107468123861566	0	0.00273224043715847	0.0009107468123861566	0	0	0	0	0.01556420233463035	116.125	898	80	23	31	16	14	11	12	9	11	2	22	6	37	6	20	13	0	3	4	4	0	0	4	6	4	3	4	0	3	4	3	1	1	2	0	5	1	0	4	0	2	0	2	0	4	0	2	3	0
War of the Clas_15.txt	London	0.029035012809564473	0.027327070879590094	0	0.0008539709649871904	0.0017079419299743809	0	0.0008539709649871904	0	0	0	0	0	0.021485573971761818	86.77142857142857	980	92	41	24	2	19	10	10	6	2	0	2	7	7	10	0	3	1	4	10	7	20	0	6	0	7	11	0	0	1	3	1	7	0	0	2	4	5	0	1	3	1	5	2	2	4	0	0	2	5
The Last Man_11.txt	Shelley	0.016638935108153077	0.03494176372712146	0.0033277870216306157	0	0.011647254575707155	0	0.0008319467554076539	0	0	0	0	0	0.01410039481105471	132.44	1068	94	28	18	8	21	19	12	8	12	5	0	6	9	10	14	14	0	7	5	3	4	0	8	18	6	7	2	0	4	3	3	3	6	2	2	2	2	2	2	1	3	2	5	4	2	0	2	2	1
Northanger Abbe_9.txt	Austen	0.034703196347031964	0.03561643835616438	0.005479452054794521	0	0.0009132420091324201	0	0.0073059360730593605	0	0	0	0	0	0.03432642487046632	51.20754716981132	900	72	15	13	10	9	12	14	8	5	18	34	6	1	6	3	0	13	5	1	3	3	0	1	4	1	11	1	3	4	4	1	3	2	0	6	0	16	7	4	2	1	3	1	2	0	0	0	1	9
Sentimental Edu_16.txt	Flaubert	0.025901942645698426	0.03330249768732655	0.005550416281221091	0	0.0018501387604070306	0	0.005550416281221091	0	0	0	0	0	0.02341772151898734	78.51351351351352	910	84	33	10	12	21	15	24	18	8	2	24	4	13	6	3	14	2	6	5	3	2	0	1	2	0	1	6	0	5	3	6	4	0	1	3	7	4	2	0	0	3	1	3	2	2	0	3	0	0
One of Ours_14.txt	Cather	0.022341376228775692	0.03395889186773905	0.0008936550491510277	0	0.0035746201966041107	0	0.0017873100983020554	0	0	0	0	0	0.018719806763285024	92.38709677419355	986	96	17	15	6	10	25	12	17	8	0	4	5	12	7	15	9	1	8	2	5	0	0	4	3	3	1	6	0	2	3	3	2	11	0	1	13	5	0	1	4	1	1	2	3	2	0	3	3	1
A Tangled Tale_7.txt	Carroll	0.028469750889679714	0.03825622775800712	0.0026690391459074734	0.0017793594306049821	0.0017793594306049821	0	0.013345195729537367	0	0	0	0	0	0.03300970873786408	57.86274509803921	874	76	38	12	4	13	1	18	24	9	2	58	0	6	5	3	5	4	7	5	6	5	0	1	7	2	3	3	0	1	2	2	2	3	1	0	3	5	2	1	2	3	6	2	5	1	0	0	1	2
Pillars of Soci_5.txt	Ibsen	0.018726591760299626	0.028089887640449437	0.008426966292134831	0.025280898876404494	0.003745318352059925	0	0.0028089887640449437	0	0	0.003745318352059925	0	0	0.025793650793650792	71.33333333333333	892	104	29	7	2	11	16	2	13	5	7	0	15	0	19	5	1	5	2	0	5	8	0	3	0	0	4	3	5	0	4	1	3	0	4	9	0	0	2	0	1	3	8	1	1	1	0	0	0	2
Henry James_3.txt	West	0.01609517144856543	0.02729181245626312	0	0	0.0034989503149055285	0	0.0013995801259622112	0	0.0013995801259622112	0.0006997900629811056	0	0	0.011476264997391758	169.77272727272728	1194	50	48	17	10	21	15	20	29	15	0	2	5	3	3	7	4	0	4	4	6	5	0	3	11	2	2	3	0	0	2	5	3	9	2	0	0	2	0	1	1	4	0	2	0	1	0	3	0	1
A Critic in Pal_19.txt	Wilde	0.012277470841006752	0.039287906691221605	0	0	0.003069367710251688	0	0.0006138735420503376	0	0	0.0012277470841006752	0	0	0.010482180293501049	177.88	1442	132	42	34	10	43	19	2	19	14	0	0	9	10	8	1	12	0	4	11	13	17	0	5	1	0	3	3	0	4	3	0	5	0	5	0	9	3	0	10	2	2	9	4	3	4	0	1	3	3
Romeo and Julie_5.txt	Shakespeare	0.024126455906821963	0.050748752079866885	0.0024958402662229617	0.0074875207986688855	0.014975041597337771	0	0.0008319467554076539	0	0	0	0	0	0.018826135105204873	91.97058823529412	950	174	24	19	50	20	7	28	19	13	8	0	7	4	0	2	2	3	9	6	3	5	0	2	4	4	2	0	1	11	1	7	6	7	0	0	1	3	3	3	4	3	4	2	1	3	0	0	2	2
Rose in Bloom_3.txt	Alcott	0.01610305958132045	0.04186795491143317	0.0008051529790660225	0	0	0	0.004025764895330112	0	0	0	0	0	0.01510912143256855	115.18518518518519	1074	80	34	18	12	13	15	0	9	6	12	26	8	11	3	11	8	11	7	9	6	3	0	4	10	4	3	5	3	1	4	2	4	7	1	2	9	2	3	1	2	1	0	1	3	3	0	1	1	2
The Iliad_0.txt	Homer	0.014967259120673527	0.04303086997193639	0	0.0018709073900841909	0.0009354536950420954	0	0	0	0	0	0	0	0.010043942247332079	174.125	958	84	44	33	0	11	10	18	2	6	1	2	1	2	4	2	9	1	8	2	4	1	0	3	8	1	3	7	3	0	2	3	0	5	3	0	8	14	0	2	4	0	0	1	0	0	0	3	1	0
Mark Twains Le_16.txt	Twain	0.022176022176022176	0.030492030492030493	0	0	0	0	0.000693000693000693	0	0	0.000693000693000693	0	0	0.01957585644371941	95.08333333333333	1136	56	36	22	6	19	12	18	14	8	6	6	9	19	3	11	13	6	2	9	4	5	0	4	2	1	3	6	1	4	1	8	1	2	0	1	7	0	1	6	0	0	2	2	1	1	0	1	0	1
The Life Adven_12.txt	Defoe	0.00966183574879227	0.043478260869565216	0	0	0.010628019323671498	0	0	0	0	0	0	0	0.006587615283267457	256.8	930	78	13	26	0	15	23	4	12	3	2	0	12	2	10	6	2	0	3	14	5	0	0	7	0	1	5	6	1	0	3	1	3	0	2	3	4	11	0	1	3	2	15	0	3	2	0	10	2	0
Phaedrus_4.txt	Plato	0.018194070080862535	0.024932614555256066	0.0006738544474393531	0.0006738544474393531	0.0033692722371967657	0	0	0	0	0.0013477088948787063	0	0	0.012750455373406194	147.35714285714286	1326	118	66	35	10	42	23	4	17	15	2	2	9	3	3	0	5	1	4	4	12	21	0	8	0	6	6	0	1	0	3	1	6	0	2	2	4	0	0	3	1	10	10	4	0	4	0	2	5	1
Miscellaneous A_13.txt	Wilde	0.03606853020739405	0.016230838593327322	0	0	0.0009017132551848512	0	0.0009017132551848512	0	0	0	0	0	0.024803387779794312	70.85365853658537	996	100	26	7	2	23	13	4	21	8	2	0	10	1	11	0	4	2	1	2	4	20	0	4	2	11	5	1	1	1	2	0	1	0	2	4	3	4	0	4	6	1	2	0	5	7	0	0	2	8
Little Men_4.txt	Alcott	0.01676963812886143	0.04324801412180053	0	0	0.00706090026478376	0	0	0	0	0	0	0	0.012143290831815421	149.0	980	88	18	27	10	14	12	6	10	11	1	14	7	11	3	12	11	0	7	8	6	1	0	2	11	3	2	6	3	2	4	2	1	6	4	2	10	4	0	5	8	1	1	0	3	2	0	0	0	0
The Temptation_19.txt	Flaubert	0.016874541452677916	0.04548789435069699	0.004402054292002935	0.00293470286133529	0.00293470286133529	0	0.01173881144534116	0	0	0	0	0	0.02365930599369085	81.75555555555556	1098	116	69	24	4	29	10	2	13	11	0	48	10	9	7	5	6	3	2	2	2	13	0	1	6	2	4	2	0	0	1	5	1	0	2	2	2	3	1	4	2	2	0	7	3	1	0	1	2	2
The Greater Inc_3.txt	Wharton	0.019965277777777776	0.028645833333333332	0.004340277777777778	0	0.006076388888888889	0	0.006076388888888889	0	0	0.003472222222222222	0	0	0.019642857142857142	84.51515151515152	990	78	11	10	10	8	14	32	12	9	27	2	15	0	17	14	0	31	4	8	6	3	0	3	0	8	5	7	9	1	4	1	1	0	2	8	0	0	15	0	7	0	4	3	4	3	0	4	1	1
My Antonia_2.txt	Cather	0.02414113277623027	0.03064066852367688	0.0009285051067780873	0	0.0064995357474466105	0	0	0	0	0	0	0	0.017710309930423784	99.96428571428571	934	80	32	21	32	18	10	8	13	4	7	0	6	7	9	10	8	0	4	4	4	1	0	3	0	1	1	5	0	4	2	1	1	0	2	1	3	5	2	2	0	4	3	1	3	2	0	4	2	0
The Descent of_13.txt	Wharton	0.029151943462897525	0.027385159010600707	0.0017667844522968198	0.0017667844522968198	0.0008833922261484099	0	0	0	0	0	0	0	0.021997621878715814	81.56756756756756	968	90	42	9	32	21	15	14	14	8	8	18	6	20	4	5	10	5	7	2	8	1	0	2	0	1	3	7	0	10	2	3	0	2	1	1	2	0	1	3	2	2	1	1	5	0	0	2	2	1
South Sea Tales_18.txt	London	0.027152831652443754	0.032583397982932506	0	0	0	0	0	0	0	0	0	0	0.018229166666666668	96.14285714285714	1156	102	48	32	6	22	12	16	15	12	0	0	12	11	9	16	8	0	7	6	5	0	0	1	0	4	3	4	0	3	4	9	1	0	9	0	3	7	0	1	3	2	0	1	2	2	0	7	3	0
A Modern Cinder_2.txt	Alcott	0.013574660633484163	0.044343891402714934	0	0.0009049773755656109	0.006334841628959276	0	0.006334841628959276	0	0	0	0	0	0.013605442176870748	136.3181818181818	938	90	37	32	22	20	8	18	12	6	0	10	4	1	4	4	3	1	12	3	5	1	0	4	9	2	2	1	1	6	2	2	1	1	3	2	2	2	0	0	1	0	0	3	3	1	0	2	2	1
Burning Dayligh_16.txt	London	0.02702702702702703	0.042588042588042586	0	0	0.001638001638001638	0	0.000819000819000819	0	0	0	0	0	0.018857459789240156	97.97058823529412	1048	96	59	31	10	11	8	42	11	10	2	6	5	1	7	10	5	0	8	3	2	0	0	1	0	1	0	6	0	2	2	5	0	0	3	0	0	14	0	2	3	0	1	1	1	1	0	6	1	0
Tales of Men an_8.txt	Wharton	0.03491495076096687	0.01521933751119069	0.008057296329453895	0.0017905102954341987	0.0017905102954341987	0	0.0035810205908683975	0	0.0008952551477170994	0	0	0	0.03155940594059406	53.68627450980392	892	78	23	11	48	12	16	26	10	6	20	34	11	8	5	7	6	17	3	4	6	1	0	3	1	0	4	4	3	7	6	1	3	0	3	3	1	1	7	0	1	0	1	1	4	1	0	2	1	0
Jos Boys_14.txt	Alcott	0.010064043915827997	0.039341262580054895	0	0	0.011893870082342177	0	0.0009149130832570906	0	0	0	0	0	0.007434944237918215	248.16666666666666	974	88	26	23	6	23	22	8	12	10	0	0	4	0	9	6	0	0	4	8	2	1	0	5	29	4	0	10	0	1	4	3	3	18	5	1	0	2	0	1	0	2	0	1	3	0	0	1	1	0
The Mill on the_12.txt	Eliot	0.01079136690647482	0.044064748201438846	0.0017985611510791368	0	0.00539568345323741	0	0.0035971223021582736	0	0	0	0	0	0.012688821752265862	141.85714285714286	942	92	32	21	28	15	14	28	11	6	3	14	8	10	4	10	6	4	6	5	8	2	0	3	8	6	2	4	1	7	2	6	1	6	3	1	2	1	0	1	1	4	0	3	2	1	0	0	1	1
Memoirs of Majo_0.txt	Defoe	0.009234828496042216	0.032981530343007916	0	0	0.001759014951627089	0	0	0	0	0	0	0	0.006060606060606061	290.8095238095238	2032	178	64	26	92	37	47	8	25	19	21	0	17	6	13	27	15	0	8	7	10	4	0	7	13	10	14	15	19	6	12	0	5	9	4	7	3	9	13	5	7	5	0	1	2	3	0	4	6	3
Mark Twains Sp_7.txt	Twain	0.025423728813559324	0.023540489642184557	0	0.0018832391713747645	0.002824858757062147	0	0.0009416195856873823	0	0	0	0	0	0.020395156150414276	83.3125	940	84	21	20	4	13	15	2	12	5	21	2	14	12	11	6	2	6	1	2	6	10	6	4	0	3	9	7	4	2	5	2	1	0	1	5	1	3	7	5	1	1	0	0	5	0	0	1	1	1
What Is Man an_18.txt	Twain	0.04788213627992634	0.02578268876611418	0.009208103130755065	0	0.0055248618784530384	0	0.0009208103130755065	0	0	0.0009208103130755065	0	0	0.039440203562340966	46.354838709677416	908	106	24	20	14	7	9	16	11	2	12	2	8	2	14	5	1	9	1	7	0	11	0	2	6	3	5	1	2	3	2	0	1	7	3	4	0	1	0	2	1	2	0	2	1	3	0	1	0	1
A New Voyage Ro_18.txt	Defoe	0.006097560975609756	0.039198606271777	0	0.0008710801393728223	0.014808362369337979	0	0	0	0	0	0	0	0.004166666666666667	409.57142857142856	1036	84	36	16	0	14	21	0	7	13	33	0	19	0	16	12	0	0	5	7	6	0	0	2	0	5	1	18	4	0	1	2	8	0	3	2	0	11	1	5	3	3	2	2	2	2	0	6	6	0
Adam Bede_0.txt	Eliot	0.025152439024390245	0.04801829268292683	0.005335365853658537	0.001524390243902439	0.0038109756097560975	0	0	0	0	0	0	0	0.021465968586387434	77.0	1036	82	30	4	106	8	13	26	24	7	17	24	5	7	9	2	3	10	1	4	7	1	0	3	2	5	5	1	2	30	8	6	5	4	2	1	1	3	0	3	0	0	0	3	0	2	0	0	0	0
The Lady from t_7.txt	Ibsen	0.06222990492653414	0.03025064822817632	0.007778738115816767	0	0.001728608470181504	0	0.018150388936905792	0	0	0.015557476231633534	0	0	0.06337135614702155	27.78	874	108	17	13	12	5	13	22	7	9	12	0	12	1	9	2	1	20	6	2	2	5	0	2	1	2	3	2	5	4	4	1	1	3	8	4	3	1	2	0	7	2	2	5	0	5	0	2	0	1
Henry V_10.txt	Shakespeare	0.029038112522686024	0.05535390199637023	0	0.020871143375680582	0.0054446460980036296	0	0	0	0	0	0	0	0.020395156150414276	86.65625	892	120	28	24	18	13	7	14	6	9	7	0	5	0	4	0	2	9	6	6	6	5	0	3	0	4	6	0	2	3	1	8	5	0	2	0	0	0	2	0	3	1	0	2	0	0	0	2	1	2
SpinningWheel_4.txt	Alcott	0.02235597592433362	0.05417024935511608	0.0025795356835769563	0.0017196904557179708	0.004299226139294927	0	0.0025795356835769563	0	0	0	0	0	0.020158827122785584	82.75757575757575	944	74	24	27	36	3	11	22	7	7	17	16	6	8	5	7	6	7	6	4	4	0	0	6	7	2	1	2	9	2	3	1	0	1	5	0	3	4	5	2	4	0	9	1	4	2	0	5	0	0
Smoke Bellew_9.txt	London	0.033419023136246784	0.037703513281919454	0.001713796058269066	0.000856898029134533	0	0	0.000856898029134533	0	0	0	0	0	0.02486678507992895	69.42857142857143	966	86	35	20	32	14	12	22	17	13	7	20	4	8	6	11	6	3	2	2	4	0	0	3	0	1	3	2	2	7	6	5	3	0	2	1	1	9	0	3	1	2	0	2	2	1	0	6	1	2
Henry VIII_0.txt	Shakespeare	0.0326975476839237	0.04178019981834696	0.0009082652134423251	0.009990917347865577	0.007266121707538601	0	0	0	0	0	0	0	0.024374599101988453	72.3157894736842	896	118	28	17	24	17	8	2	7	7	11	0	6	6	6	0	6	12	0	3	1	7	0	0	2	3	2	0	10	0	1	5	4	1	1	0	6	0	4	6	2	1	1	3	1	2	0	1	1	1
Alls Well That_16.txt	Shakespeare	0.047488584474885846	0.034703196347031964	0.0027397260273972603	0.00821917808219178	0.012785388127853882	0	0.0009132420091324201	0	0	0	0	0	0.03439649781113196	51.0	856	184	14	14	10	8	11	8	8	5	22	0	10	0	3	1	3	13	2	6	2	2	0	5	0	3	10	0	14	2	2	4	3	0	1	5	0	3	2	2	5	1	1	2	0	1	0	0	1	2
Memoirs of a Ca_18.txt	Defoe	0.011342155009451797	0.034026465028355386	0	0	0.003780718336483932	0	0	0	0	0	0	0	0.007590132827324478	238.33333333333334	952	88	49	18	8	20	34	6	5	7	2	0	4	4	1	7	5	0	11	2	6	0	0	4	0	10	5	7	0	1	8	5	2	0	2	3	5	9	0	7	1	2	0	3	0	1	0	5	1	0
The Mutiny of t_7.txt	London	0.02780269058295964	0.02780269058295964	0.0008968609865470852	0	0.0008968609865470852	0	0.003587443946188341	0	0	0	0	0	0.022277227722772276	79.41666666666667	946	82	31	16	12	16	10	22	5	7	18	16	7	13	3	16	8	1	4	6	5	0	0	3	0	2	6	7	3	2	6	1	0	4	3	2	1	3	3	2	0	0	1	3	1	0	0	6	2	0
The Red One_16.txt	London	0.027052238805970148	0.033582089552238806	0.0046641791044776115	0.0009328358208955224	0.0009328358208955224	0	0.002798507462686567	0	0	0.0009328358208955224	0	0	0.022278803309993635	75.37142857142857	904	70	16	21	0	7	17	8	12	4	18	0	6	4	3	9	2	9	1	3	1	2	0	7	19	2	1	1	2	1	8	7	3	14	4	2	0	2	6	2	1	3	2	2	1	0	32	2	0	1
Dickens Storie_2.txt	Dickens	0.013986013986013986	0.04040404040404041	0.001554001554001554	0	0.010101010101010102	0	0.006216006216006216	0	0	0.001554001554001554	0	0	0.01830910070005385	98.23529411764706	1088	92	37	24	14	7	15	14	12	12	2	26	5	11	7	10	13	1	5	5	6	2	0	1	0	4	4	5	0	5	6	5	0	2	5	1	6	2	1	4	3	2	0	2	1	0	0	2	0	0
Aunt Jos Scrap_18.txt	Alcott	0.018666666666666668	0.042666666666666665	0.0008888888888888889	0	0	0	0.0017777777777777779	0	0	0	0	0	0.015413070283600493	111.76	962	72	32	18	16	15	5	2	20	5	16	30	3	1	6	4	2	2	6	6	7	2	0	2	6	4	2	0	5	1	0	2	4	0	1	1	0	6	1	1	0	2	5	0	2	0	0	3	1	6
Rosmersholm_4.txt	Ibsen	0.0637732506643047	0.025686448184233834	0.015057573073516387	0	0	0	0.005314437555358724	0	0	0.005314437555358724	0	0	0.0625	28.555555555555557	888	118	16	4	8	11	19	30	8	7	20	0	8	3	7	0	2	22	5	2	1	8	0	4	0	3	5	0	7	1	2	3	2	0	4	3	1	0	8	2	1	0	0	2	1	1	0	1	1	3
Brown Wolf and_17.txt	London	0.028258887876025523	0.03919781221513218	0	0	0.0018231540565177757	0	0	0	0	0	0	0	0.0191713048855906	91.64516129032258	976	86	41	22	4	10	15	12	11	10	0	0	4	31	11	11	18	0	5	6	4	0	0	5	0	2	3	4	0	2	4	6	0	0	0	0	8	0	0	2	1	1	0	5	4	0	0	1	2	0
Alexanders Bri_12.txt	Cather	0.027264731750219876	0.03342128408091469	0.0043975373790677225	0.001759014951627089	0.003518029903254178	0	0.001759014951627089	0	0	0	0	0	0.023284313725490197	73.28947368421052	970	84	35	15	8	12	10	6	9	8	15	20	7	9	10	13	2	9	5	3	3	1	0	2	9	1	2	12	2	1	6	5	1	8	0	3	2	5	3	1	4	0	8	2	1	0	0	1	0	1
A Tale of Two C_7.txt	Dickens	0.02566225165562914	0.048013245033112585	0.0041390728476821195	0.0008278145695364238	0.004966887417218543	0	0.0016556291390728477	0	0	0	0	0	0.02497027348394768	72.02380952380952	988	80	24	12	4	22	15	16	15	14	26	34	5	7	6	11	3	6	4	1	7	2	0	3	5	4	4	4	3	1	5	2	0	7	0	6	1	1	4	2	0	2	1	2	5	3	0	2	3	3
The Voyage Out_19.txt	Woolf	0.02863128491620112	0.03770949720670391	0.0006983240223463687	0.0006983240223463687	0.0013966480446927375	0	0.0034916201117318434	0	0	0.0013966480446927375	0	0	0.023518344308560677	72.74	1176	108	27	16	76	17	11	46	25	13	14	8	7	3	11	2	4	4	6	5	7	2	0	1	15	1	2	2	3	16	0	4	3	10	2	6	2	8	1	1	4	2	2	1	12	0	0	2	3	0
The Importance_17.txt	Wilde	0.05403225806451613	0.03306451612903226	0.007258064516129033	0	0	0	0.004032258064516129	0	0	0	0	0	0.04838709677419355	36.44444444444444	960	102	16	13	34	8	9	2	8	8	24	0	3	2	11	3	0	21	4	6	1	7	0	4	2	3	1	1	2	4	5	4	5	0	2	4	1	0	5	1	0	1	2	1	4	2	0	1	1	0
Ghosts A Domes_18.txt	Ibsen	0.05320945945945946	0.037162162162162164	0.007601351351351352	0	0.0008445945945945946	0	0.006756756756756757	0	0	0.004222972972972973	0	0	0.05565529622980251	30.451612903225808	940	114	14	10	26	10	17	24	9	11	24	0	6	1	9	4	1	18	2	5	4	5	0	8	4	6	4	0	1	5	6	0	3	3	8	6	1	0	4	1	8	0	3	2	3	2	0	2	0	2
The Human Drift_3.txt	London	0.025203854707190512	0.03039288361749444	0	0	0.0007412898443291327	0	0	0	0	0	0	0	0.01717171717171717	101.08823529411765	1180	102	47	26	0	19	13	32	14	10	22	6	5	2	10	10	4	0	3	2	8	9	0	3	0	1	1	8	7	0	2	9	0	0	4	7	1	7	2	9	0	6	5	4	2	2	0	1	0	1
The House of th_5.txt	Dostoyevsky	0.027982326951399118	0.047128129602356406	0	0	0.0014727540500736377	0	0.0007363770250368188	0	0	0	0	0	0.0197869101978691	96.7948717948718	1188	110	50	17	2	20	20	10	17	8	3	4	8	18	8	14	7	0	2	9	8	9	0	7	0	7	4	5	0	1	4	3	3	0	7	1	5	5	0	3	1	3	0	5	6	2	0	10	1	1
