article name	author	% '.'	% ','	% '?'	% ':'	% ';'	% ' '	% '!'	% '-'	% '_'	% '('	% '"'	% '/'	sentences-to-words ratio	avg. sentence length	%" "	%"\n"	%"the"	%"and"	%"'"	%"of"	%"to"	%"-"	%"a"	%"in"	%"i"	%"""	%"that"	%"he"	%"it"	%"wa"	%"hi"	%"you"	%"with"	%"for"	%"as"	%"is"	%"+"	%"but"	%"her"	%"be"	%"not"	%"had"	%"my"	%"s"	%"at"	%"on"	%"thi"	%"she"	%"all"	%"have"	%"him"	%"they"	%"me"	%"by"	%"so"	%"which"	%"we"	%"from"	%"one"	%"no"	%""	%"were"	%"or"	%"are"
Hamlet Prince_19.txt	Shakespeare	0.02277294038847957	0.043536503683858	0.012056262558606833	0.006697923643670462	0.007367716008037508	0	0.008707300736771601	0	0	0	0	0	0.02938475665748393	57.65625	1190	188	35	26	44	12	16	22	19	9	25	0	9	8	5	1	9	11	8	9	3	4	0	4	2	3	5	1	17	6	1	0	7	0	4	11	4	3	7	3	3	1	2	1	0	3	0	1	3	2
A Tangled Tale_14.txt	Carroll	0.020883534136546186	0.0393574297188755	0.00642570281124498	0.001606425702811245	0	0	0.001606425702811245	0	0	0	0	0	0.020594965675057208	83.5	1012	80	44	19	12	26	15	30	21	13	3	30	12	5	19	2	2	4	4	0	3	8	0	3	0	2	1	1	0	4	1	3	1	0	2	1	1	1	0	0	4	1	3	0	4	3	0	2	0	0
The Valley of t_17.txt	London	0.036862003780718335	0.026465028355387523	0.002835538752362949	0	0.001890359168241966	0	0	0	0	0	0	0	0.027237354085603113	64.4047619047619	908	78	19	17	16	12	10	12	11	6	5	14	9	15	12	12	6	6	5	6	4	2	0	5	11	0	8	7	0	2	2	4	1	15	3	1	5	6	0	0	2	0	1	1	2	2	0	5	0	0
The God of His_18.txt	London	0.026586620926243566	0.03773584905660377	0	0	0	0	0.002572898799313894	0	0	0	0	0	0.02054380664652568	82.0	982	80	45	27	12	11	10	10	4	8	8	20	3	21	1	6	13	3	2	3	4	3	0	9	0	0	3	5	5	5	6	3	0	0	1	2	6	2	2	0	1	0	7	3	7	1	0	1	0	1
The 30000 Beq_17.txt	Twain	0.00909090909090909	0.05545454545454546	0.0009090909090909091	0	0.011818181818181818	0	0.0027272727272727275	0	0	0	0	0	0.009398496240601503	182.93333333333334	952	84	22	53	2	15	10	24	18	6	8	2	9	2	13	15	1	2	7	3	5	5	0	4	5	0	5	1	7	1	2	2	0	5	3	0	0	2	11	1	3	0	1	0	5	4	0	0	2	0
Northanger Abbe_1.txt	Austen	0.018467220683287166	0.032317636195752536	0.0046168051708217915	0.0018467220683287165	0.00554016620498615	0	0.003693444136657433	0	0	0	0	0	0.02072538860103627	88.375	908	72	13	7	0	19	14	14	16	8	18	36	8	0	8	2	1	9	4	2	5	10	0	4	0	6	7	2	6	0	1	1	4	1	1	6	3	4	4	6	3	4	0	0	1	3	0	1	1	7
The Merry Wives_17.txt	Shakespeare	0.039943938332165384	0.03153468815697267	0.005606166783461808	0.013314646110721794	0.004905395935529082	0	0.002803083391730904	0	0.000700770847932726	0.005606166783461808	0	0	0.03740926856504746	45.11940298507463	964	92	9	14	14	3	5	40	5	2	21	0	3	7	3	0	2	9	1	8	3	7	0	2	1	2	2	0	4	2	2	1	4	0	0	4	3	0	9	8	3	2	1	1	0	1	0	0	1	0
The History of_19.txt	Defoe	0.004228329809725159	0.057787174066243834	0	0.0021141649048625794	0.007047216349541931	0	0	0	0	0	0	0	0.003386550556361877	530.1428571428571	1244	112	46	23	22	43	21	0	9	14	9	0	7	9	6	1	8	3	2	4	11	14	0	4	0	9	5	0	3	2	0	0	6	0	11	3	10	1	1	11	7	8	1	0	0	2	0	1	6	7
White Fang_12.txt	London	0.02452316076294278	0.02997275204359673	0	0	0.0027247956403269754	0	0	0	0	0.0009082652134423251	0	0	0.016728624535315983	106.48148148148148	964	86	41	20	2	15	12	22	5	5	0	0	3	18	7	12	10	0	10	3	2	0	0	4	19	1	1	3	0	1	9	9	4	11	0	1	5	2	0	1	0	1	0	1	4	1	0	1	3	0
Silver Pitchers_5.txt	Alcott	0.015194681861348529	0.0389363722697056	0.001899335232668566	0	0.004748338081671415	0	0.001899335232668566	0	0	0	0	0	0.013680781758957655	126.61904761904762	922	78	21	18	2	11	17	6	13	6	12	16	10	9	6	4	12	0	4	9	3	3	0	4	9	1	1	3	3	1	2	5	4	2	1	2	6	0	5	0	4	1	2	0	4	5	0	2	0	0
The Master Buil_7.txt	Ibsen	0.06543778801843318	0.02304147465437788	0.004608294930875576	0.0009216589861751152	0.0027649769585253456	0	0.0027649769585253456	0	0	0	0	0	0.058823529411764705	28.161290322580644	854	148	10	14	18	10	14	24	9	6	17	0	12	5	7	4	5	11	5	3	2	5	0	8	6	1	4	2	4	4	6	6	2	3	5	8	1	3	1	0	4	0	3	0	2	5	0	3	1	1
